FAMILY,SPECIES,BODY LENGTH (mm),,,,,,,,OFFSPRING SIZE  (mm),,,,,,LONGEVITY (d),,,,,,GENERATIONS PER YEAR,,,,,,FECUNDITY,,,,EXPLANATORY VARIABLES (Y/N),,,,,
,,Male,ref.,Female,ref.,Mean (m+f),ref.,Mean (?sex),ref.,1st Instar,ref.,Egg Length,ref.,Egg Width,ref.,Nymph,ref.,Adult,ref.,Total,ref.,Voltinism,ref.,Univoltine,Bivoltine,Multivoltine,Semivoltine,Clutch Size,ref.,Clutches/yr,ref.,Habitat,Diet,Mating Syst.,Ovipos'n Site,Diapause St.,Act. Period
Pyrgomorphidae,Zonocerus variegatus,,,,,,,38.525,64,10.3,64,,,,,137,64,152,c,289,64,Univoltine,59,1,0,0,0,57.5,59,6,59,,,,,,
Rhaphidophoridae,Ischyroplectron isolatum,34,16,29,16,31.5,16,31.5,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Rhaphidophoridae,Isoplectron armatum,,,,,,,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhaphidophoridae,Isoplectron calcaratum,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Rhaphidophoridae,Macropathus huttoni,17,16,,,,,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhaphidophoridae,Neonetus pilosus,11,16,,,,,11,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Rhaphidophoridae,Neonetus variegatus,,,,,,,10,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Rhaphidophoridae,Pachyrhamma edwardsii ,27.5,16,,,,,25.67,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Rhaphidophoridae,Pharmacus montanus,,,,,,,11,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Rhaphidophoridae,Pleioplectron diversum,,,17,16,,,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhaphidophoridae,Pleioplectron hudsoni,12,16,,,,,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhaphidophoridae,Pleioplectron pectinatum,15,16,,,,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhaphidophoridae,Pleioplectron simplex,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Rhaphidophoridae,Tachycines asynamorus,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Rhaphidophoridae,Talitropsis crassicruris,,,,,,,23,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhaphidophoridae,Talitropsis irregularis,,,,,,,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhaphidophoridae,Talitropsis sedilotti,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripipterygidae,Ripipteryx diegoi,7.95,33,8.25,33,8.1,33,8.1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripipterygidae,Ripipteryx gorgonaensis,6.295,33,,,,,6.295,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripipterygidae,Ripipteryx guacharoensis,7.2,33,7.4,33,7.3,33,7.3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romaleidae,Acrydium latreillei,,,120,7,,,120,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romaleidae,Brachystola magna,47.5,1,49.75,1,48.625,1,48.625,1,11,1,10.415,"1,55",2.7,55,45,1,,,,,,,,,,,36.835,"1,55",,,X,X,,X,X,X
Romaleidae,Romalea microptera,,,,,,,,,,,,,,,55,71,108.65,71,163.65,c,Univoltine,71,1,0,0,0,63.85,71,4,71,,,,,,
Schizodactylidae,Schizodactylus minor,25.12,18,29.31,18,27.215,18,27.215,18,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X
Schizodactylidae,Schizodactylus monstrous,43.96,19,50.55,19,47.255,19,47.255,19,8.09,19,,,,,,,,,,,,,,,,,23.1,19,,,X,X,,X,,X
Stenopelmatidae,Stenopelmatopterus sartorianus,27,25,,,,,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenopelmatidae,Stenopelmatus guatemalae,16.5,25,,,,,16.5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenopelmatidae,Stenopelmatus minor,16,25,,,,,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanaoceridae,Mohavacris timberlakei,10,26,,,,,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanaoceridae,Tanocerus koebelei,8.55,26,19.2,16,13.875,16,13.875,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tetrigidae,Tetrix bipunctata,,,,,,,9.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,
Tetrigidae,Tetrix ceperoi,,,,,,,8.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tetrigidae,Tetrix subulata,,,,,,,9.5,2,,,,,,,,,,,,,,,,,,,30,68,,,X,,,,,
Tetrigidae,Tetrix tenuicornis,,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,
Tetrigidae,Tetrix tuerki,,,,,,,8.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,
Tetrigidae,Tetrix undulata,,,,,,,9.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,
Tettigoniidae,Anabrus simplex,40.5,1,45,1,42.75,1,42.75,1,7.1,1,7.5,"1,72",2.25,72,75,1,,,,,Univoltine,1,1,0,0,0,,,,,X,X,X,X,X,X
Tettigoniidae,Barbitistes constrictus,,,,,,,17,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tettigoniidae,Barbitistes serricauda,,,,,,,17.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Conocephalus fuscus,,,,,,,14.5,2,,,6,54,0.8,54,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Conocephalus dorsalis,,,,,,,14.5,2,,,5.25,54,0.7,54,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Conocephalus nigropleurum,,,,,,,,,,,5,6,,,,,,,,,Univoltine,6,1,0,0,0,,,,,X,,,X,X,
Tettigoniidae,Decticus verrucivorus,31,2,35,2,33,2,33,2,,,5,54,2,54,,,,,,,,,,,,,,,,,X,,,X,X,
Tettigoniidae,Euconocephalus pallidus,,,,,,,,,,,,,,,,,,,,,Bivoltine,6,0,1,0,0,,,,,,,,,,
Tettigoniidae,Ephippiger ephippiger,23.5,2,27,2,25.25,2,25.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tettigoniidae,Gampsocleis glabra,,,,,,,23,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tettigoniidae,Isophya pyrena,,,,,,,21,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Leptophyes albovittata,11.5,2,14,2,12.75,2,12.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Leptophyes punctatissima,12,2,14.5,2,14.25,2,14.25,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Lipotactes silvestris,,,,,,,,,,,,,,,,,,,,,Univoltine,6,1,0,0,0,,,,,,,,,,
Tettigoniidae,Meconema thalassinum,,,,,,,13.5,2,,,3,54,1,54,,,,,,,,,,,,,,,,,X,X,,X,,X
Tettigoniidae,Metrioptera bicolor,,,,,,,16.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tettigoniidae,Metrioptera brachyptera,,,,,,,15,2,,,4,54,1,54,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Requena verticalis,,,,,,,,,,,,,,,,,,,,,Univoltine,73,1,0,0,0,,,,,,,,,,
Tettigoniidae,Roeseliana roeselii,,,,,,,16,2,,,4.65,54,1,54,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Mygalopsis pauperculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
Tettigoniidae,Neoconocephalus robustus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X
Tettigoniidae,Neoconocephalus triops,,,,,,,,,,,,,,,,,,,,,Bivoltine,6,0,1,0,0,,,,,,,X,,,X
Tettigoniidae,Orchelimum gladiator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X
Tettigoniidae,Orophus conspersus,,,,,,,,,,,,,,,,,,,,,Multivoltine,6,0,0,1,0,,,,,,,,,,
Tettigoniidae,Phaneroptera falcata,,,,,,,15,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Phaneroptera nana,,,,,,,,,,,4.5,54,2.1,54,,,,,,,,,,,,,,,,,,,,,,
Tettigoniidae,Pholidoptera aptera,20.5,2,23.5,2,22,2,22,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tettigoniidae,Pholidoptera griseoaptera,14,2,16.5,2,15.25,2,15.25,2,,,4.25,54,1.1,54,,,,,,,,,,,,,,,,,X,,,X,,X
Tettigoniidae,Platycleis albopunctata,,,,,,,20,2,,,4,54,1,54,,,,,,,,,,,,,,,,,X,,,X,,X
Tettigoniidae,Platycleis montana,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tettigoniidae,Platycleis tessellata,,,,,,,15,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Polysarcus denticauda,,,,,,,34,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tettigoniidae,Ruspolia differens,,,,,,,,,,,,,,,,,,,,,Multivoltine,6,0,0,1,0,,,,,,,,,,
Tettigoniidae,Ruspolia nitidula,,,,,,,24.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Stictophaula armata,,,,,,,,,,,,,,,,,,,,,Univoltine,6,1,0,0,0,,,,,,,,,,
Tettigoniidae,Tettigonia cantans,25,2,29,2,27,2,27,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Tettigoniidae,Tettigonia viridissima,32,2,37,2,34.5,2,34.5,2,,,5.3,54,1.5,54,,,,,,,,,,,,,,,,,X,,X,X,X,X
Tettigoniidae,Uvarovistia zebra,,,,,,,,,,,,,,,,,,,,,Univoltine,69,1,0,0,0,,,,,,,,,,
Thericleidae,Chromothericles keniensis,9.8,34,21,34,15.4,34,15.4,34,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Thericleidae,Chromothericles manyara,9.6,34,20.5,34,15.05,34,15.05,34,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Thericleidae,Chromothericles ngongensis,9.5,34,,,,,9.5,34,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Thericleidae,Chromothericles uguenoensis,10.1,34,20.3,34,15.2,34,15.2,34,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Tridactylidae,Xya capensis,,,,,,,5.6,36,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X
Tridactylidae,Xya pfaendleri,,,,,,,5,35,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
Tridactylidae,Xya variegata,,,,,,,5,35,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
Trigonidiidae,Allonemobius allardi,,,,,,,,,,,1.91,66,,,,,,,,,,,,,,,,,,,,,,,,
Trigonidiidae,Allonemobius fasciatus,,,,,,,,,,,1.83,66,,,,,,,,,,,,,,,,,,,,,,,,
Trigonidiidae,Argizala brasiliensis,10.68,37,11.48,37,11.08,37,11.08,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigonidiidae,Eunemobius carolinus,,,,,,,,,,,1.75,66,,,,,,,,,,,,,,,,,,,,,,,,
Trigonidiidae,Neonemobius eurynotus,11,38,11.1,38,11.05,38,11.05,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristiridae,Elasmoderus wagenknechti,25.85,20,40.05,20,32.95,20,32.95,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xyronotidae,Axyronotus cantralli,21.9,17,24.8,17,23.35,17,23.35,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xyronotidae,Xyronotus aztecus,18.55,17,27.1,17,22.825,17,22.825,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xyronotidae,Xyronotus cohni,19.65,17,24.7,17,22.175,17,22.175,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xyronotidae,Xyronotus hubbelli,22.1,17,24.8,17,23.45,17,23.45,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
