FAMILY,SPECIES,BODY LENGTH (mm),,,,,,,,OFFSPRING SIZE  (mm),,,,,,LONGEVITY (d),,,,,,GENERATIONS PER YEAR,,,,,,FECUNDITY,,,,EXPLANATORY VARIABLES (Y/N),,,,,
,,Male,ref.,Female,ref.,Mean (m+f),ref.,Mean (?sex),ref.,1st Instar,ref.,Egg Length,ref.,Egg Width,ref.,Nymph,ref.,Adult,ref.,Total,ref.,Voltinism,ref.,Univoltine,Bivoltine,Multivoltine,Semivoltine,Clutch Size,ref.,Clutches/yr,ref.,Habitat,Diet,Mating Syst.,Ovipos'n Site,Diapause St.,Act. Period
Acrididae,Chorthippus biguttulus,14,2,19.5,2,16.75,2,16.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Chorthippus brunneus,16,2,22,2,19,2,19,2,,,,,,,,,36.5,7,,,Univoltine,50,1,0,0,0,,,,,X,,,,,
Acrididae,Chorthippus curtipennis,15.65,1,21.65,1,18.65,1,18.65,1,6.15,1,4.2,1,,,30,1,,,,,Semivoltine,7,0,0,0,1,5,1,,,X,X,,X,X,X
Acrididae,Chorthippus dorsatus,16,2,22,2,19,2,19,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Chorthippus mollis,13.25,2,18,2,15.625,2,15.625,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Chorthippus parallelus,14.5,2,20,2,17.25,2,17.25,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Chorthippus pullus,14.5,2,20,2,17.25,2,17.25,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Chorthippus vagans,13.5,2,19,2,16.25,2,16.25,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Chortoicetes terminifera,,,,,,,,,5,53,,,,,,,,,,,Variable,"1,59",0,1,1,0,,,,,,,,,,
Acrididae,Chortophaga viridifasciata,19.2,1,27,1,23.1,1,23.1,1,6.85,1,4.25,1,,,,,,,,,Variable,"1,7",1,1,1,0,24.01,"1,55",,,X,,,X,X,X
Acrididae,Chrysocharon brachypterus,15,2,22,2,18.5,2,18.5,2,,,,,,,,,,,,,,,,,,,5.5,1,,,X,,,X,,
Acrididae,Chrysochraon dispar,17.5,2,26,2,21.75,2,21.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Collitera variegata,,,,,,,,,5.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Cordillacris crenulata,12.5,1,15.5,1,14,1,14,1,5.25,1,5.25,1,,,36,1,,,,,,,,,,,2.5,1,,,X,,,,X,X
Acrididae,Cordillacris occipitalis,17.5,1,22.25,1,19.875,1,19.875,1,5.6,1,5,1,,,,,,,,,,,,,,,2.5,1,,,X,X,,X,X,X
