Mohavacris timberlakei
Tanocerus koebelei
Tetrix bipunctata
Tetrix brunnerii
Tetrix ceperoi
Tetrix japonica
Tetrix subulata
Tetrix tartara
Tetrix tenuicornis
Tetrix tuerki
Tetrix undulata
Anabrus simplex
Barbitistes constrictus
Barbitistes serricauda
Conocephalus fuscus
Conocephalus dorsalis
Conocephalus nigropleurum
Decticus verrucivorus
Euconocephalus pallidus
Ephippiger ephippiger
Gampsocleis glabra
Isophya pyrena
Leptophyes albovittata
Leptophyes punctatissima
Lipotactes silvestris
Meconema thalassinum
Metrioptera bicolor
Metrioptera brachyptera
Requena verticalis
Roeseliana roeselii
Mygalopsis pauperculus
Neoconocephalus robustus
Neoconocephalus triops
Orchelimum gladiator
Orophus conspersus
Phaneroptera falcata
Phaneroptera nana
Pholidoptera aptera
Pholidoptera griseoaptera
Platycleis albopunctata
Platycleis montana
Platycleis tessellata
Polysarcus denticauda
Ruspolia differens
Ruspolia nitidula
Stictophaula armata
Tettigonia cantans
Tettigonia viridissima
Uvarovistia zebra
Chromothericles keniensis
Chromothericles manyara
Chromothericles ngongensis
Chromothericles uguenoensis
Xya capensis
Xya pfaendleri
Xya variegata
Allonemobius allardi
Allonemobius fasciatus
Argizala brasiliensis
Eunemobius carolinus
Neonemobius eurynotus
Elasmoderus wagenknechti
Axyronotus cantralli
Xyronotus aztecus
Xyronotus cohni
Xyronotus hubbelli
